"","x"
"1",-0.56933406246826
"2",0.306409580912441
"3",-0.518398181255907
"4",1.06358092771843
"5",-0.46283446457237
"6",0.326796122640371
"7",1.09695072909817
"8",-0.93213102966547
"9",-0.93515262985602
"10",-0.723109639249742
"11",0.492803971935064
"12",0.00429752580821516
"13",0.85251646861434
"14",0.445534049533308
"15",0.991324500646442
"16",-0.741652370709926
"17",-0.510433760285378
"18",-0.22468591099605
"19",-0.389788525085896
"20",-0.699258583504707
"21",-0.155611338745803
"22",0.783432279806584
"23",-0.130156558472663
"24",-0.867261356674135
"25",-0.698067610152066
"26",-0.450007467716932
"27",-0.201366200949997
"28",-0.276934870518744
"29",-0.661244886461645
"30",-0.700061831623316
"31",0.400799524318427
"32",-0.0683746098540723
"33",-0.329905864596367
"34",0.432877834141254
"35",0.0979178498499096
"36",-0.0678632941097022
