"","x"
"1",0.291196693480015
"2",0.0567597417160869
"3",-0.228527216799557
"4",0.80879399497062
"5",0.0296439280733466
"6",-0.340929227136076
"7",1.07251840112731
"8",0.151960822287947
"9",-0.461670015472919
"10",0.924746666569263
"11",-1.06155623570085
"12",0.656732638180256
"13",0.461182956118137
"14",0.957862093113363
"15",-0.434493327513337
"16",0.768152862042189
"17",0.717834897898138
"18",-1.08129532020539
"19",-0.0555445234291255
"20",-0.420215872023255
"21",0.426475591305643
"22",0.423077889159322
"23",0.467733260244131
"24",-0.190367841627449
"25",-0.789488471113145
"26",-0.374602606520057
"27",-0.0106921383179724
"28",0.426627848297358
"29",-0.605249188840389
"30",-0.62992181815207
"31",-0.953254019841552
"32",-0.55873017301783
"33",-0.232904963288456
"34",-0.304178908560425
"35",-0.135009289346635
"36",0.0840833511203528
