"","x"
"1",-0.797979053016752
"2",-0.805473110545427
"3",-0.429148258175701
"4",-0.191518809646368
"5",0.5433120848611
"6",0.589500903710723
"7",0.933821465726942
"8",0.937469037715346
"9",0.188705206848681
"10",0.977331573609263
"11",-0.0188872382044792
"12",1.01226428700611
"13",0.842950079590082
"14",-0.479347178712487
"15",0.834512397646904
"16",0.270529041904956
"17",-0.557566658500582
"18",-0.835535536054522
"19",-0.273374005686492
"20",0.348759893793613
"21",0.245218480098993
"22",0.115622292738408
"23",0.366285857278854
"24",-0.558534459676594
"25",-0.559016024693847
"26",0.607605901453644
"27",0.796348908916116
"28",-0.104145615827292
"29",-0.308826805558056
"30",-0.299391622655094
"31",-0.851002009212971
"32",-0.232397506013513
"33",0.568679126910865
"34",-0.189667790196836
"35",-0.501589062158018
"36",-0.361440905276686
