"","x"
"1",0.822548482101411
"2",-0.174879857338965
"3",0.86183141823858
"4",0.229248020797968
"5",0.0295056640170515
"6",-0.990389415062964
"7",-0.621910314168781
"8",0.691290591377765
"9",-0.133523277938366
"10",0.602231356315315
"11",0.282964893151075
"12",0.814670094195753
"13",-0.0182558349333704
"14",-0.104709014762193
"15",-0.317628856748343
"16",-0.47624104982242
"17",-0.858680662233382
"18",-0.534786718338728
"19",-1.07538880910724
"20",-0.714160092081875
"21",-0.389109533745795
"22",0.564405993092805
"23",0.601369676645845
"24",-0.908071579411626
"25",0.33687252830714
"26",0.0249432291835547
"27",-0.404717058874667
"28",0.0155858513899148
"29",0.667574489489198
"30",0.653308530338109
"31",-0.433605920150876
"32",0.494426180608571
"33",0.188452024478465
"34",-0.333888667169958
"35",0.949476049747318
"36",-0.246658471878618
