"","x"
"1",0.319419073406607
"2",0.444030576664954
"3",-0.172603876516223
"4",0.537285375688225
"5",0.283015194628388
"6",-1.29185439134017
"7",-0.126215094979852
"8",-0.548870380036533
"9",-0.542989687994123
"10",0.121716059744358
"11",-0.415713909454644
"12",0.751105213258415
"13",0.824550711549819
"14",-0.270426259376109
"15",0.0803538449108601
"16",0.533511953987181
"17",-0.297883862070739
"18",-0.611321129556745
"19",-1.34880623845384
"20",0.141240820102394
"21",-0.0481396885588765
"22",-0.0674980245530605
"23",0.251770223490894
"24",-0.617637909017503
"25",-0.221134189516306
"26",0.415483991708607
"27",0.940977926831692
"28",0.393594792578369
"29",0.00102428998798132
"30",0.899062565527856
"31",0.334018963482231
"32",0.569824870768935
"33",-0.326670774165541
"34",-0.884700746182352
"35",0.360745666176081
"36",-1.1298167379573
