"","x"
"1",0.459323472809047
"2",-0.730977852921933
"3",-0.650789656769484
"4",0.229388617351651
"5",0.273226269893348
"6",0.28771952772513
"7",0.429806657042354
"8",0.845702571328729
"9",0.821361324749887
"10",-0.0787947466596961
"11",-0.30376252187416
"12",1.05903956890106
"13",0.444766376633197
"14",-0.686230402439833
"15",-0.09563511563465
"16",0.121055894717574
"17",-0.684841357730329
"18",-1.09949424276128
"19",-0.00789099251851441
"20",-0.915340231452137
"21",-0.0675295232795179
"22",-0.321919797826558
"23",0.874262914061546
"24",-0.958727580495179
"25",-0.289658269844949
"26",-0.282342371530831
"27",0.419801027607173
"28",-0.0130492909811437
"29",0.895903701428324
"30",0.917597765568644
"31",-1.2601009006612
"32",0.826648655254394
"33",-0.54741249056533
"34",0.117012597527355
"35",0.783638010639697
"36",0.135310561396182
