"","x"
"1",0.196767664607614
"2",-0.76560821691528
"3",-0.704490695614368
"4",-0.0425357194617391
"5",-0.00612461380660534
"6",-0.365326155349612
"7",0.91116461250931
"8",-0.465851341374218
"9",-0.396712303627282
"10",0.867851863615215
"11",-0.557550328690559
"12",0.682790564373135
"13",-0.0472903922200203
"14",-0.321864786557853
"15",-0.171050643082708
"16",0.0161832022480667
"17",0.637211077008396
"18",-1.08766239657998
"19",-0.773444133903831
"20",-0.415176027547568
"21",-0.116551916487515
"22",-0.394078118819744
"23",0.251378090120852
"24",-0.901900930330157
"25",0.244313634932041
"26",0.75202627107501
"27",-0.25969116166234
"28",-0.33650315226987
"29",0.408544551581144
"30",0.928100106306374
"31",-0.856711744330823
"32",0.0725087872706354
"33",0.207225610036403
"34",0.865157064050436
"35",0.428277811966836
"36",-0.578049497585744
