"","x"
"1",-0.332622017711401
"2",0.753568466659635
"3",-0.532778324279934
"4",-0.421251510921866
"5",0.763095669727772
"6",-0.191347784362733
"7",0.637105604074895
"8",-0.706281336024404
"9",-0.0017207651399076
"10",-0.605876435525715
"11",0.758892525825649
"12",-0.224689703062177
"13",0.766091025900096
"14",0.132154343649745
"15",-0.920832364354283
"16",-0.463879628200084
"17",-0.0863042554818094
"18",-0.198365435842425
"19",-0.106824438925832
"20",-0.51384493932128
"21",-0.920204563066363
"22",-0.126136620808393
"23",-0.339495243504643
"24",-0.814273911528289
"25",-0.0205843509174883
"26",-0.457760629151017
"27",0.411112173181027
"28",-0.176681214477867
"29",0.573995325248688
"30",0.716455437708646
"31",1.18358497656882
"32",0.263682272471488
"33",-0.696977946721017
"34",-0.156416611094028
"35",0.739168591052294
"36",-0.894093919545412
