"","x"
"1",-1.29863678095862
"2",0.161786434985697
"3",-0.136414286587387
"4",0.120419296529144
"5",-0.425065492186695
"6",-1.07610807465389
"7",0.659857586305588
"8",0.402847731951624
"9",-0.739307256881148
"10",0.457684859167784
"11",-0.115999385621399
"12",0.630718732066452
"13",0.714449041988701
"14",-0.0381774711422622
"15",0.538657585158944
"16",-0.348911841772497
"17",0.267496125027537
"18",-0.798259856924415
"19",0.0310125911608339
"20",0.168583883158863
"21",-0.0689376857131719
"22",0.600280249491334
"23",-0.025342111941427
"24",-0.898239039815962
"25",-0.912914335727692
"26",0.372138358838856
"27",-0.0741441468708217
"28",-0.225115083623677
"29",0.114069943316281
"30",0.752327386289835
"31",0.160121613368392
"32",0.31305900644511
"33",-0.296497769095004
"34",-0.517232485022396
"35",0.837296514865011
"36",0.317240001261234
