"","x"
"1",-0.641984562017023
"2",0.576478491909802
"3",0.178994272276759
"4",-0.380112215038389
"5",-0.492057400848717
"6",-0.539963950961828
"7",-0.762742628064007
"8",0.026472364552319
"9",0.21219762833789
"10",0.185804169159383
"11",-0.549038755707443
"12",0.381801196187735
"13",-0.158681907691061
"14",0.0106669543311
"15",0.262926949188113
"16",-0.307876270264387
"17",-0.37785592963919
"18",-0.219597830902785
"19",-0.049717778339982
"20",-1.23637659335509
"21",0.564815937448293
"22",0.583054836187512
"23",0.331802321132272
"24",-0.108362044207752
"25",0.72369911102578
"26",0.676299507543445
"27",0.544407205004245
"28",0.666857394855469
"29",0.630018108058721
"30",0.513348028529435
"31",-0.250465256348252
"32",0.931501869484782
"33",-0.341168229095638
"34",-0.609301167167723
"35",0.740634348616004
"36",0.311690277326852
